"","name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"437","Klay Thompson","Golden State Warriors","11/9/2016",2016,3,7,3,"shot_no","Jump Shot","2PT Field Goal",17,"Dallas Mavericks",78,154,29
"438","Klay Thompson","Golden State Warriors","11/9/2016",2016,1,11,32,"shot_yes","Jump Shot","2PT Field Goal",16,"Dallas Mavericks",-84,144,1
"439","Klay Thompson","Golden State Warriors","11/9/2016",2016,3,11,30,"shot_no","Jump Shot","3PT Field Goal",26,"Dallas Mavericks",-76,259,25
"440","Klay Thompson","Golden State Warriors","11/9/2016",2016,1,11,3,"shot_yes","Jump Shot","2PT Field Goal",17,"Dallas Mavericks",-143,95,1
"441","Klay Thompson","Golden State Warriors","11/9/2016",2016,3,8,57,"shot_no","Jump Shot","2PT Field Goal",14,"Dallas Mavericks",119,82,28
"442","Klay Thompson","Golden State Warriors","3/28/2017",2016,4,7,11,"shot_no","Jump Shot","3PT Field Goal",27,"Houston Rockets",-145,232,41
"443","Klay Thompson","Golden State Warriors","12/13/2016",2016,1,10,43,"shot_yes","Jump Shot","3PT Field Goal",24,"New Orleans Pelicans",-240,-5,2
"444","Klay Thompson","Golden State Warriors","12/13/2016",2016,1,7,0,"shot_yes","Jump Shot","2PT Field Goal",3,"New Orleans Pelicans",9,38,5
"445","Klay Thompson","Golden State Warriors","12/13/2016",2016,2,6,42,"shot_no","Jump Shot","3PT Field Goal",22,"New Orleans Pelicans",227,16,18
"446","Klay Thompson","Golden State Warriors","12/13/2016",2016,1,9,48,"shot_no","Jump Shot","2PT Field Goal",10,"New Orleans Pelicans",-17,105,3
"447","Klay Thompson","Golden State Warriors","12/13/2016",2016,4,2,32,"shot_no","Jump Shot","3PT Field Goal",26,"New Orleans Pelicans",-192,178,46
"448","Klay Thompson","Golden State Warriors","12/13/2016",2016,4,1,36,"shot_no","Jump Shot","3PT Field Goal",23,"New Orleans Pelicans",-237,28,47
"449","Klay Thompson","Golden State Warriors","12/13/2016",2016,2,11,46,"shot_yes","Jump Shot","3PT Field Goal",25,"New Orleans Pelicans",-117,232,13
"450","Klay Thompson","Golden State Warriors","12/13/2016",2016,2,5,55,"shot_no","Jump Shot","3PT Field Goal",24,"New Orleans Pelicans",-17,249,19
"451","Klay Thompson","Golden State Warriors","12/13/2016",2016,4,9,36,"shot_no","Jump Shot","3PT Field Goal",26,"New Orleans Pelicans",-223,144,39
"452","Klay Thompson","Golden State Warriors","12/13/2016",2016,2,6,38,"shot_yes","Jump Shot","2PT Field Goal",20,"New Orleans Pelicans",-56,193,18
"453","Klay Thompson","Golden State Warriors","12/25/2016",2016,2,10,28,"shot_yes","Jump Shot","2PT Field Goal",18,"Cleveland Cavaliers",-181,51,14
"454","Klay Thompson","Golden State Warriors","3/28/2017",2016,1,5,34,"shot_no","Jump Shot","3PT Field Goal",25,"Houston Rockets",-161,193,7
"455","Klay Thompson","Golden State Warriors","3/21/2017",2016,3,8,59,"shot_yes","Jump Shot","3PT Field Goal",22,"Dallas Mavericks",228,7,28
"456","Klay Thompson","Golden State Warriors","3/21/2017",2016,2,0,55,"shot_yes","Jump Shot","3PT Field Goal",24,"Dallas Mavericks",145,203,24
"457","Klay Thompson","Golden State Warriors","3/21/2017",2016,2,3,4,"shot_yes","Jump Shot","3PT Field Goal",24,"Dallas Mavericks",179,170,21
"458","Klay Thompson","Golden State Warriors","3/21/2017",2016,3,10,15,"shot_yes","Jump Shot","3PT Field Goal",24,"Dallas Mavericks",238,46,26
"459","Klay Thompson","Golden State Warriors","3/21/2017",2016,2,8,7,"shot_yes","Jump Shot","3PT Field Goal",24,"Dallas Mavericks",204,134,16
"460","Klay Thompson","Golden State Warriors","3/21/2017",2016,3,4,57,"shot_no","Jump Shot","3PT Field Goal",24,"Dallas Mavericks",-81,229,32
"461","Klay Thompson","Golden State Warriors","3/21/2017",2016,3,11,27,"shot_yes","Jump Shot","2PT Field Goal",21,"Dallas Mavericks",120,180,25
"462","Klay Thompson","Golden State Warriors","3/21/2017",2016,4,10,1,"shot_no","Jump Shot","3PT Field Goal",24,"Dallas Mavericks",-219,111,38
"463","Klay Thompson","Golden State Warriors","3/28/2017",2016,1,4,44,"shot_yes","Jump Shot","3PT Field Goal",24,"Houston Rockets",163,188,8
"464","Klay Thompson","Golden State Warriors","2/2/2017",2016,2,2,17,"shot_yes","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",-237,120,22
"465","Klay Thompson","Golden State Warriors","2/2/2017",2016,2,6,36,"shot_yes","Jump Shot","2PT Field Goal",16,"Los Angeles Clippers",164,-5,18
"466","Klay Thompson","Golden State Warriors","2/2/2017",2016,2,11,8,"shot_no","Jump Shot","2PT Field Goal",18,"Los Angeles Clippers",55,175,13
"467","Klay Thompson","Golden State Warriors","2/2/2017",2016,2,2,57,"shot_yes","Jump Shot","3PT Field Goal",23,"Los Angeles Clippers",-237,11,22
"468","Klay Thompson","Golden State Warriors","2/2/2017",2016,4,1,7,"shot_yes","Jump Shot","3PT Field Goal",24,"Los Angeles Clippers",246,-19,47
"469","Klay Thompson","Golden State Warriors","2/2/2017",2016,4,0,40,"shot_no","Jump Shot","3PT Field Goal",24,"Los Angeles Clippers",245,-1,48
"470","Klay Thompson","Golden State Warriors","2/2/2017",2016,3,9,56,"shot_yes","Jump Shot","2PT Field Goal",15,"Los Angeles Clippers",-156,7,27
"471","Klay Thompson","Golden State Warriors","12/25/2016",2016,4,7,20,"shot_no","Jump Shot","3PT Field Goal",25,"Cleveland Cavaliers",-243,75,41
"472","Klay Thompson","Golden State Warriors","2/2/2017",2016,3,8,24,"shot_no","Jump Shot","3PT Field Goal",28,"Los Angeles Clippers",164,232,28
"473","Klay Thompson","Golden State Warriors","11/21/2016",2016,3,8,34,"shot_yes","Jump Shot","2PT Field Goal",17,"Indiana Pacers",97,149,28
"474","Klay Thompson","Golden State Warriors","2/2/2017",2016,4,2,13,"shot_no","Jump Shot","2PT Field Goal",4,"Los Angeles Clippers",-20,38,46
